日期,hs300_close,hs300_ret,hs300_turnover_log,hs300_amplitude,hs300_turnover_rate,csi_close,csi_ret,csi_turnover_log,csi_amplitude,margin_total,douyin_search,turnover_heat_z,turnover_rate_heat_z,price_accel_z,amplitude_heat_z,margin_heat_z,search_heat_z,crowding_z,escape_index_0_100,escape_signal,escape_level
2015-08-17,4077.87,0.0010629575258864765,26.542845860580485,1.76,0.78,5963.36,0.010980590276659319,27.75125895772136,2.31,13926.7,,-0.993,-1.233,0.194,-0.843,-0.86,,-0.788,31.27,0,相对安全
2015-08-18,3825.41,-0.061909771522878354,26.775176600338686,7.03,0.97,5561.44,-0.06739824528453764,27.908864503340094,7.33,13722.4,,-0.334,-0.677,-2.013,1.908,-0.95,,-0.749,32.11,0,相对安全
2015-08-19,3886.14,0.01587542250373164,26.55492386340343,6.03,0.82,5674.28,0.020289709140078882,27.71689293605207,7.61,13652.699999999999,,-0.983,-1.063,0.648,1.514,-0.993,,-0.544,36.74,0,相对安全
2015-08-20,3761.45,-0.03208582295027973,26.323821439718277,3.07,0.64,5490.65,-0.03236181506728608,27.56557663020043,3.54,13572.699999999999,,-1.563,-1.505,-0.88,-0.29,-1.037,,-1.209,22.98,0,相对安全
2015-08-21,3589.54,-0.04570311980752095,26.312379520782926,4.78,0.66,5215.02,-0.05019988525948649,27.444630817629772,4.84,13262.699999999999,,-1.728,-1.404,-1.28,0.447,-1.168,,-1.287,21.64,0,相对安全
2015-08-24,3275.53,-0.08747917560467355,26.33319257701287,5.62,0.78,4788.04,-0.08187504554153202,27.126873456734963,4.53,12482.2,,-2.101,-1.041,-2.383,0.743,-1.486,,-1.557,17.4,0,相对安全
2015-08-25,3042.93,-0.07101140884070678,26.362190926275037,5.51,0.84,4442.48,-0.07217149397248157,27.137394579673725,3.84,11627.900000000001,,-1.938,-0.852,-1.734,0.629,-1.844,,-1.444,19.09,0,相对安全
2015-08-26,3025.69,-0.005665592044509671,26.4668722039798,7.92,0.94,4334.14,-0.02438727917739625,27.457801253874017,7.96,11083.9,,-1.228,-0.565,-0.082,2.254,-2.07,,-0.84,30.15,0,相对安全
2015-08-27,3205.64,0.05947403732702283,26.35365284650006,5.89,0.81,4530.14,0.04522235091621396,27.29787868167845,5.75,10772.5,,-1.593,-0.892,1.65,1.031,-2.185,,-0.794,31.14,0,相对安全
2015-08-28,3342.29,0.0426279931620519,26.487715231175464,4.04,0.91,4764.94,0.05183062775101854,27.462665278369794,4.56,10751.9,,-1.094,-0.599,1.367,0.187,-2.161,,-0.696,33.28,0,相对安全
